Reviews,Rating,Year,Genre,Title,Rank
495,0.97,2018,Superhero,Black Panther (2018),1
505,0.94,2019,Superhero,Avengers: Endgame (2019),2
416,0.97,2018,Spy,Mission: Impossible - Fallout (2018),3
375,0.97,2018,Superhero,Spider-Man: Into the Spider-Verse (2018),4
413,0.97,2015,Sci-Fi,Mad Max: Fury Road (2015),5
445,0.93,2017,Superhero,Wonder Woman (2017),6
443,0.93,2017,War,Dunkirk (2017),7
337,0.97,2017,Thriller,Coco (2017),8
462,0.91,2017,Sci-Fi,Star Wars: The Last Jedi (2017),9
410,0.93,2017,Superhero,Thor: Ragnarok (2017),10
62,0.98,1933,Sci-Fi,King Kong (1933),11
405,0.93,2017,Superhero,Logan (2017),12
427,0.91,2019,Superhero,Spider-Man: Far From Home (2019),13
370,0.94,2018,Superhero,Incredibles 2 (2018),14
430,0.93,2015,Sci-Fi,Star Wars: Episode VII - The Force Awakens (2015),15
46,1.00,1938,Thriller,The Adventures of Robin Hood (1938),16
373,0.93,2017,Thriller,Baby Driver (2017),17
283,0.98,2016,Thriller,Zootopia (2016),18
347,0.94,2017,Sci-Fi,War for the Planet of the Apes (2017),19
126,0.97,1927,Sci-Fi,Metropolis (1927),20
384,0.92,2017,Superhero,Spider-Man: Homecoming (2017),21
62,1.00,1956,War,Seven Samurai (Shichinin no Samurai) (1956),22
392,0.90,2019,Superhero,Shazam! (2019),23
294,0.98,2009,Thriller,Up (2009),24
48,0.96,1935,Thriller,The 39 Steps (1935),25
406,0.91,2016,Superhero,Captain America: Civil War (2016),26
85,0.98,1962,War,Lawrence of Arabia (1962),27
338,0.94,2008,Superhero,The Dark Knight (2008),28
81,0.98,1975,Sci-Fi,Jaws (1975),29
46,1.00,1948,Thriller,The Treasure of the Sierra Madre (1948),30
320,0.94,2016,Thriller,The Jungle Book (2016),31
273,0.96,2016,Thriller,Moana (2016),32
417,0.88,2018,Superhero,Ant-Man and the Wasp (2018),33
329,0.96,2011,Thriller,Harry Potter and the Deathly Hallows - Part 2 (2011),34
89,0.98,1979,War,Apocalypse Now (1979),35
283,0.97,2009,War,The Hurt Locker (2009),36
373,0.92,2012,Spy,Skyfall (2012),37
